[@爆率]
{
#CHILD 1/1
(
1/1000     开天斩
1/1000     分身术
1/1000     群体施毒术
1/1000     护体神盾
1/1000     逐日剑法
1/1000     灭天火
1/1000     飓风破
1/5000     狂龙紫电
1/5000     召唤强化骷髅

1/500 荣耀印记
1/1000 重生石
1/1 BOSS精魄
1/1 聚灵珠(小)
1/1 聚灵珠(大)
1/1 聚灵珠(小)
1/1 聚灵珠(大)
1/1    强效太阳水
1/1    强效太阳水
1/1    强效太阳水
1/2    强效太阳水
1/2    强效太阳水
1/1    疗伤药
1/2    疗伤药

1/1    强效金创药
1/1    强效金创药
1/2    强效金创药

1/1    强效魔法药
1/1    强效魔法药
1/2    强效魔法药

1/1     祝福油


1/10    鸿蒙挑战卷


1/180 攻击神水
1/180 魔力神水
1/180 精神神水

1/1   白色虎齿项链
1/1   灯笼项链
1/1   记忆项链
1/100  复活戒指



1/10    井中月
1/10    魔杖
1/10    无极棍
1/10    银蛇
1/10    炼狱
1/20  裁决之杖
1/20  骨玉权杖
1/20  龙纹剑
1/20  血饮


1/30  战神盔甲(男)
1/30  战神盔甲(女)
1/30  幽灵战衣(女)
1/30  幽灵战衣(男)
1/30  恶魔长袍(男)
1/30  恶魔长袍(女)
1/10  重盔甲(男)
1/10  重盔甲(女)
1/10  灵魂战衣(女)
1/10  灵魂战衣(男)
1/10  魔法长袍(男)
1/10  魔法长袍(女)

1/30   放大镜
1/30   竹笛
1/30   凝霜
1/30   珊瑚戒指
1/30   降妖除魔戒指
1/30   记忆头盔
1/10   道士头盔
1/10   修罗


1/8   死神手套
1/8   金手镯
1/5   降魔
1/5   黑色水晶戒指
1/5   蛇眼戒指
1/5   金戒指
1/5   蓝翡翠项链
1/5   道德戒指
1/5   魅力戒指
1/5   道士手镯
1/5   黑檀手镯
1/5   青铜头盔

1/3   斩马刀
1/3   偃月
1/3   破魂
1/2   珍珠戒指
1/2   生铁戒指
1/2   骷髅戒指
1/2   小手镯
)

#CHILD 1/1 RANDOM
(
1/1  生命项链
1/1  幽灵项链
1/1  记忆头盔
1/1  红宝石戒指
1/1  铂金戒指
1/1  龙之戒指
1/1  心灵手镯
1/1  思贝儿手镯
1/1  天珠项链
1/1  幽灵手套
)

#CHILD 1/1 RANDOM
(
1/1  黑铁头盔
1/1  绿色项链
1/1  灵魂项链
1/1  恶魔铃铛
1/1  力量戒指
1/1  紫碧螺
1/1  泰坦戒指
1/1  骑士手镯
1/1  龙之手镯
1/1  三眼手镯
1/1  阎罗手套
)

#CHILD 1/1 RANDOM
(
1/1  圣战头盔
1/1  圣战手镯
1/1  圣战戒指
1/1  圣战项链
1/1  法神头盔
1/1  法神手镯
1/1  法神戒指
1/1  法神项链
1/1  天尊头盔
1/1  天尊手镯
1/1  天尊戒指
1/1  天尊项链
)

#CHILD 1/1 RANDOM
(
1/1  极品战链
1/1  极品法链
1/1  极品道链
1/1  虹魔战盔
1/1  赤血法盔
1/1  灵犀道盔
1/1  精准手镯
1/1  强血手镯
1/1  敏捷手镯
)


#CHILD 1/4 RANDOM
(
1/1  幸运战链
1/1  幸运法链
1/1  幸运道链
1/1  钨钢战盔
1/1  防御法盔
1/1  龙纹道盔
1/1  法玛手镯
1/1  遗失手镯
1/1  魂之手镯
)


#CHILD 1/10 RANDOM
(
1/1  英雄神盔
1/1  法玛头盔
1/1  传承神盔
1/1  剑气纵横
1/1  魔法凝聚
1/1  万物有灵
)


#CHILD 1/30 RANDOM
(
1/1  战魂项链
1/1  法魄项链
1/1  道灵项链
1/1  磐龙战盔
1/1  寒冰魔盔
1/1  玄宗道盔
1/1  金刚圈
1/1  擒龙爪
1/1  伏魔臂
)



#CHILD 1/80 RANDOM
(
1/1  权力战盔
1/1  庇佑法盔
1/1  祝福道盔
1/1  龙之护臂
1/1  神之护臂
1/1  霜之护臂
)


#CHILD 1/100 RANDOM
(
1/1  武尊项链
1/1  魔尊项链
1/1  道尊项链
1/1  天神下凡
1/1  神圣下凡
1/1  仙尊下凡
1/1  神龙盘绕
1/1  千月星痕
1/1  暴雨梨花
)


#CHILD 1/200 RANDOM
(
1/1  天威战盔
1/1  御龙法盔
1/1  九黎道盔
1/1  雷霆琢
1/1  苍月爪
1/1  天罡圈
)


#CHILD 1/300 RANDOM
(
1/1  天威武坠
1/1  神品法坠
1/1  天机道坠
1/1  圣之祝福
1/1  神之祈祷
1/1  贤之希望
1/1  伏魔金手
1/1  寂静魔手
1/1  匠心灵手
)


#CHILD 1/600 RANDOM
(
1/1  龙之觉醒
1/1  龙之初现
1/1  龙之困惑
1/1  天龙战臂
1/1  魔龙法臂
1/1  苍龙道臂
)


#CHILD 1/800 RANDOM
(
1/1  破天武坠
1/1  睥睨法坠
1/1  神镜道坠
