[2024-02-02 14:07:47:282] LuaNPC:他还能 ID:999999999 执行 playlevelup player:他还能 耗时：31; NpcThreadId: 14872, CurPlayThreadId: 14872

[2024-02-02 20:34:51:009] >>>Lua跨线程调用,已终止执行[QFunction]-moneychange1:14872-15072
[2024-02-02 20:34:51:025] >>>Lua跨线程调用,已终止执行[QFunction]-playlevelup:14872-15072
[2024-02-02 20:34:51:061] >>>Lua跨线程调用,已终止执行[QFunction]-sendability:14872-15072

[2024-02-02 20:35:01:088] >>>Lua跨线程调用,已终止执行[QFunction]-moneychange1:14872-15072
[2024-02-02 20:35:01:110] >>>Lua跨线程调用,已终止执行[QFunction]-moneychange3:14872-15072
[2024-02-02 20:35:01:122] >>>Lua跨线程调用,已终止执行[QFunction]-playlevelup:14872-15072
[2024-02-02 20:35:01:134] >>>Lua跨线程调用,已终止执行[QFunction]-sendability:14872-15072

[2024-02-02 20:35:11:988] >>>Lua跨线程调用,已终止执行[QFunction]-moneychange7:14872-15072

[2024-02-02 20:35:12:001] >>>Lua跨线程调用,已终止执行[QFunction]-playlevelup:14872-15072
[2024-02-02 20:35:12:018] >>>Lua跨线程调用,已终止执行[QFunction]-sendability:14872-15072

[2024-02-02 20:41:30:152] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288

[2024-02-02 20:41:52:245] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:41:52:249] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:41:52:256] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:41:52:262] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:41:52:267] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:41:52:273] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:41:52:278] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:41:52:282] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:41:52:288] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:41:52:294] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:41:52:299] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288

[2024-02-02 20:42:32:276] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:42:32:281] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:42:32:286] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:42:32:290] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:42:32:295] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:42:32:301] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:42:32:306] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:42:32:311] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:42:32:316] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:42:32:323] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288
[2024-02-02 20:42:32:327] >>>Lua跨线程调用,已终止执行[QFunction]-addbag:14872-25288

